week,Hongkonggriep,Pokken,Virulentie,Infectieziekte,Verkoudheid,Aids,H5N2,Griep,H5N1,Virologie
2018-42,0.11119692307692308,-0.10066173495925562,-0.08380816714150047,0.061667239010989014,0.11656526457723547,0.14253345966062345,-0.023974358974358973,0.010343759339305628,-0.03670512820512821,0.01977777777777779
2018-43,0.19679692307692306,-0.10066173495925562,-0.05500158277936055,0.163229739010989,0.15376064721939023,0.14186768069923864,-0.023974358974358973,0.14414457427344757,-0.03670512820512821,0.33533333333333337
2018-44,0.5663969230769231,-0.10066173495925562,0.07668566001899337,0.21456902472527473,0.20078929193935605,0.19956852401925637,-0.023974358974358973,0.35460605442127285,-0.03670512820512821,0.24644444444444447
2018-45,0.7943969230769231,-0.10066173495925562,0.2371794871794872,0.249167239010989,0.2349919426447857,0.19923563453856397,-0.023974358974358973,0.42975056309179305,-0.03670512820512821,0.6197777777777778
2018-46,0.9407969230769231,-0.10066173495925562,0.03553339664450776,0.33510473901098903,0.23028907817278912,0.2129950664071836,-0.023974358974358973,0.44993439707265154,-0.03670512820512821,0.402
2018-47,0.2991969230769231,-0.10066173495925562,0.023187717632162087,0.22349759615384615,0.01951524320057878,0.16816594967393902,-0.023974358974358973,0.13978562421185373,-0.03670512820512821,0.4331111111111111
2018-48,0.3095969230769231,-0.10066173495925562,-0.09615384615384615,0.09291723901098901,-0.036064064195744434,0.3139715422172146,-0.023974358974358973,0.07117954063372428,-0.03670512820512821,0.12644444444444447
2018-49,0.10959692307692308,-0.10066173495925562,-0.2154954099398544,0.1509529532967033,-0.04760745880882695,0.4410243606814845,-0.023974358974358973,-0.022158846554752934,-0.03670512820512821,0.1797777777777778
2018-50,0.052796923076923075,-0.10066173495925562,-0.19903450459006014,0.00809581043956044,-0.05060019074555205,0.2041180135887193,-0.023974358974358973,-0.028412992295300647,-0.03670512820512821,0.162
2018-51,0.008796923076923075,-0.10066173495925562,-0.18668882557771446,-0.047707760989010986,-0.015970006906304502,0.09015884803168425,0.20935897435897435,-0.08223654957759004,0.6732948717948718,-0.046888888888888876
2018-52,0.029596923076923076,-0.10066173495925562,-0.19491927825261157,-0.18163633241758242,-0.0005788140888611519,0.0018321724879647714,0.30935897435897436,-0.10147278571897164,0.9632948717948718,-0.12688888888888888
2019-01,0.012796923076923076,-0.10066173495925562,-0.11261475150364038,0.05273866758241758,0.11742033084487122,-0.2105513161937929,-0.023974358974358973,-0.04660687081325762,-0.03670512820512821,0.09533333333333334
2019-02,-3.0769230769237767e-06,-0.10066173495925562,0.060224754669199125,0.186667239010989,0.42396158779228466,-0.2105513161937929,-0.023974358974358973,0.009396161499828701,-0.03670512820512821,0.09533333333333334
2019-03,-0.023203076923076923,-0.10066173495925562,-0.08792339347894902,0.018140453296703298,-0.020245338244483213,-0.2105513161937929,-0.023974358974358973,-0.08858545510208544,-0.03670512820512821,0.16644444444444445
2019-04,-0.014403076923076923,-0.10066173495925562,-0.09203861981639759,0.025952953296703298,0.16957937317065147,-0.2105513161937929,-0.023974358974358973,-0.054850972016706884,-0.03670512820512821,0.08200000000000002
2019-05,-0.008003076923076924,-0.10066173495925562,-0.14553656220322886,0.16769402472527473,0.16701417436774424,-0.2105513161937929,-0.023974358974358973,-0.062336994948574594,-0.03670512820512821,0.046444444444444455
2019-06,-0.020003076923076926,-0.10066173495925562,-0.03854067742956631,0.03711366758241758,0.08706547834380238,-0.2105513161937929,-0.023974358974358973,-0.07626668318888541,-0.03670512820512821,0.01977777777777779
2019-07,-0.026403076923076925,-0.10066173495925562,-0.04677113010446343,0.07840831043956044,0.11656526457723547,-0.2105513161937929,-0.023974358974358973,-0.07370816902229771,-0.03670512820512821,-0.01133333333333332
2019-08,-0.016003076923076925,-0.10066173495925562,-0.1825735992402659,-0.023154189560439558,0.02421810767257536,-0.2105513161937929,-0.023974358974358973,-0.08716405834287005,-0.03670512820512821,0.01977777777777779
2019-09,-0.028803076923076924,-0.10066173495925562,-0.009734093067426392,0.07394402472527473,-0.0822376426480745,0.2369631090170371,-0.023974358974358973,-0.08868021488603314,-0.03670512820512821,-0.07799999999999999
2019-10,-0.034403076923076925,-0.10066173495925562,-0.0015036403925292724,0.06613152472527473,-0.11601276021968629,0.23818370377957593,-0.023974358974358973,-0.10090422701528548,-0.03670512820512821,-0.05133333333333332
2019-11,-0.039203076923076924,-0.10066173495925562,0.010842038619816407,-0.04659168956043956,-0.1570559410662019,0.2402920038239612,-0.023974358974358973,-0.11056972497795013,-0.03670512820512821,-0.02022222222222221
2019-12,-0.034403076923076925,-0.10066173495925562,-0.12496043051598606,0.07506009615384615,-0.1758673989541882,0.2162129980538769,-0.023974358974358973,-0.1160657924469163,-0.03670512820512821,0.11755555555555557
2019-13,-0.028803076923076924,-0.10066173495925562,-0.18668882557771446,-0.01534168956043956,-0.17714999835564182,0.17826359725494215,-0.023974358974358973,-0.13009024047117482,-0.03670512820512821,-0.1091111111111111
2019-14,-0.048003076923076926,-0.10066173495925562,-0.06734726179170623,-0.0677970467032967,-0.1762949320880061,0.11778867492915429,-0.023974358974358973,-0.12923740241564557,-0.03670512820512821,-0.01133333333333332
2019-15,-0.04560307692307693,-0.10066173495925562,-0.1002690724912947,-0.00752918956043956,-0.16688920314401293,0.1147926696029226,-0.023974358974358973,-0.1314168774464425,-0.03670512820512821,-0.01133333333333332
