week,Ziekte,Hoofdpijn,Infectie,week,Immuunsysteem,Keelpijn,Griep,Buikgriep,Incubatieperiode,H5N1
2018-42,0.24523735969519106,0.31227300879474795,0.12888210298418237,0.3431372549019608,0.06873363553525498,-0.2146341463414634,-0.023245303923783982,0.05451358783373811,0.06478578183183793,-0.03561253561253561
2018-43,0.34076231666593115,0.289664313142574,0.17992180052671544,0.3627450980392157,0.20233687440165174,-0.43414634146341463,-0.02570905830642399,0.10830041797018264,0.09443109681330962,-0.03561253561253561
2018-44,0.34420465745766954,0.38647590734547255,0.23625450374032603,0.38235294117647056,0.17399679342999183,-0.24390243902439024,-2.915685659929666e-05,0.14606984648511245,0.05419816933845519,-0.03561253561253561
2018-45,0.34076231666593115,0.3105338783599653,0.21281405005412565,0.4019607843137255,0.10247182716818345,-0.2634146341463415,0.025555984809277704,0.12985469916456666,0.10025428368467013,-0.03561253561253561
2018-46,0.6032408020359828,0.30415706676576243,0.7538348440049764,0.4215686274509804,0.639133995409299,-0.25365853658536586,0.0006341616310345515,0.2136988755537302,0.09496047743797875,-0.03561253561253561
2018-47,0.3571134354266885,0.23111358850489286,0.41394826555507086,0.4411764705882353,0.3534839729171713,-0.17560975609756097,0.03313676752509311,0.29833403473901793,0.0684914462045219,-0.03561253561253561
2018-48,0.22028038895508778,0.1644469218382262,0.14060232982728255,0.46078431372549017,0.06648442275972642,-0.1951219512195122,0.006983067155529956,0.2759887707485097,0.04625745996841814,-0.03561253561253561
2018-49,0.4440325404180826,0.34299764647590736,0.2052526133811578,0.4803921568627451,0.30175207908001433,-0.11707317073170732,0.08184329647420711,0.43991995524524696,0.0886079099419491,-0.03561253561253561
2018-50,0.3175265163216971,0.27749040009909576,0.19580081753994796,0.5,0.11551726126624913,-0.05365853658536585,0.09548870536267484,0.4458523262161783,0.015024003112939046,-0.03561253561253561
2018-51,0.11787075040087092,0.09604112473677692,-4.0392289919714086e-05,0.5196078431372549,-0.17103244633609005,-0.11219512195121951,0.11235594690536413,0.39661364715744785,-0.026267685611253647,0.27644420197611685
2018-52,-0.016380540476925984,0.07922953053387836,-0.048433586996914045,0.5392156862745098,-0.21556685929155564,-0.13170731707317074,0.1395520048983519,0.38178271973011935,-0.04003158185265121,0.2445293083590956
2019-01,0.5163216970445886,0.5470556174904001,0.2566703827573393,-0.46078431372549017,0.21178356805887172,0.2097560975609756,0.7766220323786893,0.7128090199080905,0.22254120798324079,-0.03561253561253561
2019-02,0.5361151565970843,0.6543019943019943,0.30014864362690447,-0.4411764705882353,0.2635154618960287,0.11219512195121951,0.7179657261150675,0.5136791009838272,0.24106952984666058,-0.03561253561253561
2019-03,0.551605690159907,0.5528527189396755,0.2872942012828591,-0.4215686274509804,0.36248082401928555,0.28292682926829266,0.5365007398552362,0.47373446977955586,0.18442580300706293,-0.03561253561253561
2019-04,0.3571134354266885,0.545896197200545,0.2279369234000614,-0.4019607843137255,0.25361892568370303,0.13658536585365855,0.334662400046651,0.2623443175153675,0.17225004863967278,-0.03561253561253561
2019-05,0.36141636141636146,0.4682150377802552,0.22831499523370977,-0.38235294117647056,0.162750729552349,0.25365853658536586,0.3009279169612724,0.2672879599911437,0.10713623180536891,-0.03561253561253561
2019-06,0.4681289259602513,0.46473677691069,0.24684051508248103,-0.3627450980392157,0.08762702284969492,0.2926829268292683,0.20503101560620748,0.17197453305817947,0.11190065742739114,-0.03561253561253561
2019-07,0.38034923577092256,0.42763532763532763,0.21772898389155476,-0.3431372549019608,0.10337151227839489,0.05853658536585366,0.11102930993009642,0.16426245079596868,0.11825322492342079,-0.03561253561253561
2019-08,0.30978124954028574,0.39053387835996534,0.19693503304089313,-0.3235294117647059,0.061985997208669284,0.25365853658536586,0.0563529145922778,0.122735853999449,0.060021356209815704,-0.03561253561253561
2019-09,0.21167453697574184,0.3476353276353276,0.20071575137737707,-0.30392156862745096,0.025998592800212248,0.18536585365853658,0.039769952401431594,0.11047562065952415,0.040434273097057626,-0.03561253561253561
2019-10,0.20478985539226507,0.3029976464759074,0.1716042201864508,-0.28431372549019607,0.07728064408226352,0.0975609756097561,0.005940709532105337,0.11344180614498985,-0.007209983123164712,-0.03561253561253561
2019-11,0.23060741133030294,0.393432429084603,0.23436414457208407,-0.2647058823529412,0.11956584426220056,0.17560975609756097,0.00044464206313916634,0.0930739991447921,0.022435331858306966,-0.03561253561253561
2019-12,0.18241464024596557,0.2861860522730088,0.1655550708480765,-0.24509803921568626,0.060186626988246436,0.11707317073170732,-0.04437673574411943,0.08615289967870549,0.010259577490916813,-0.03561253561253561
2019-13,0.19360224781911534,0.29140344357735665,0.18597094986508975,-0.22549019607843138,0.09077592073543492,0.2975609756097561,-0.06067541858312256,0.009427568454659606,0.052080646839778644,-0.03561253561253561
2019-14,0.17725112905835802,0.2699541682150378,0.12812595931688558,-0.20588235294117646,0.0696333206454664,0.14146341463414633,-0.08209112975530108,-0.034669722429263666,-0.032090872482614156,-0.03561253561253561
2019-15,0.15745766950586232,0.20560634212808127,0.12245488181215967,-0.18627450980392157,0.055238358882083595,0.18048780487804877,-0.11099286385934733,-0.09636638052695004,0.0023188681208797563,-0.03561253561253561
