week,Koude_rillingen,Antigene_drift,Griep,Neuraminidase,Hoofdpijn,Vogelpest,Mexicaanse_griep,Virulentie,Azerbeidzjan,Koorts
2018-42,-0.23812217194570134,-0.034047919293820984,-0.22553028366981856,-0.09626311188811189,-0.2552558670143417,-0.05714084798957779,-0.12731876701582762,0.194154715341156,-0.05986367412468615,-0.26333198105059286
2018-43,-0.2633322559793148,-0.21437578814628,-0.24853053922821364,0.16510052447552448,-0.2552558670143417,-0.08793376561852313,-0.14411540768769324,-0.026184267709691452,-0.06617358797009326,-0.30212068469128694
2018-44,-0.25492889463477697,-0.14880201765447673,-0.24929721441349348,0.04010052447552447,-0.06881518904824001,-0.0894734114999704,-0.15011420792764527,0.002064319860930018,-0.07624518122333923,-0.24904140602507396
2018-45,-0.23812217194570134,0.047919293820933115,-0.24648607206746742,0.1310096153846154,-0.23830671447196883,-0.0848544738556286,-0.14051612754372203,0.6969795740982182,-0.05476720524954964,-0.2844275918025493
2018-46,-0.24652553329023916,-0.09962168978562426,-0.262586250958344,-0.02808129370629371,-0.24254400260756204,-0.06060505122283414,-0.13451732730377003,0.10375923511516731,-0.07563845873820393,-0.27558104535818045
2018-47,-0.2633322559793148,0.26103404791929374,-0.23166368515205724,0.16510052447552448,-0.017967731421121364,-0.06945801504115592,-0.14111600756771725,-0.009235115167318569,-0.015815621703863435,-0.26231122569162724
2018-48,-0.24652553329023916,0.047919293820933115,-0.23038589317659086,0.08555506993006992,-0.15779823989569763,-0.060989962693195954,-0.016340962576715443,-0.048783137766188624,-0.06350400903549795,-0.2640124846232366
2018-49,-0.25492889463477697,-0.05044136191677181,-0.23243036033733708,0.04010052447552447,-0.15356095176010442,-0.06175978563391959,-0.1159210465599188,0.019013472403302898,-0.044816956493330735,-0.2388338524354176
2018-50,-0.25492889463477697,0.08070617906683475,-0.20738563761819576,0.42646416083916083,-0.23830671447196883,-0.057910670930301424,-0.113521526463938,0.22805302042590178,-0.04202603306170836,-0.2469998953071427
2018-51,-0.25492889463477697,-0.0012610340479193476,-0.26054178379759774,0.006009615384615378,-0.15356095176010442,-0.06522398886717594,-0.13511720732776522,-0.048783137766188624,-0.08291912855982751,-0.26979676499070854
2018-52,-0.23812217194570134,-0.06683480453972263,-0.29785330948121647,0.0628277972027972,-0.25949315514993493,-0.08754885414816131,-0.12251972682386601,-0.22392438070404172,-0.054645860752522576,-0.32525780616117467
2019-01,-0.24652553329023916,0.49054224464060525,-0.18898543317147967,-0.4030812937062937,0.04135430247718372,-0.05598611357849234,-0.10092404596003877,0.04726205997392437,-0.05792216217225319,-0.18099104876069833
2019-02,-0.25492889463477697,0.19546027742749048,-0.17825198057756197,-0.4030812937062937,0.06677803129074304,-0.05560120210813052,-0.0505341239444419,-0.009235115167318569,-0.0678724109284721,-0.173505509461617
2019-03,-0.23812217194570134,0.19546027742749048,-0.0946843853820598,-0.4030812937062937,-0.15779823989569763,-0.05367664475632144,0.2554046882931106,0.007714037375054312,0.06208754538750897,-0.12008597900908213
2019-04,-0.25492889463477697,0.03152585119798229,-0.008050089445438283,-0.4030812937062937,-0.08152705345501966,-0.04751806123053237,0.15522472428591202,-0.09963059539330726,-0.07575980323523099,-0.10341364147931009
2019-05,-0.23812217194570134,0.2938209331651954,-0.03871709685663174,-0.4030812937062937,-0.026442307692307803,-0.061374874163557774,0.3051947302847123,0.09245980008691872,-0.07563845873820393,-0.0690482110608004
2019-06,-0.25492889463477697,0.22824716267339212,0.00038333759263991824,-0.4030812937062937,-0.022205019556714584,-0.06753345768934683,0.16002376447787364,0.03596262494567578,-0.08049223861928632,-0.11634320935954147
2019-07,-0.24652553329023916,0.2938209331651954,-0.0039611551239458215,0.33555506993006995,-0.026442307692307803,-0.039819831823296035,0.09163744174242074,0.052911777488048664,-0.06447476501171442,-0.05475763603528152
2019-08,-0.23812217194570134,0.2774274905422446,-0.02619473549706108,0.25600961538461536,0.05406616688396338,-0.05714084798957779,0.013053158599049404,0.22805302042590178,-0.06896451140171564,-0.060882168189075325
2019-09,-0.2633322559793148,0.047919293820933115,-0.03565039611551239,0.5969187062937062,-0.03915417209908746,-0.06445416592645231,0.03164943934290063,0.14895697522816165,-0.07563845873820393,-0.06836770748815664
2019-10,-0.24652553329023916,-0.034047919293820984,-0.08931765908510095,0.1310096153846154,-0.09423891786179933,-0.05406155622668325,0.04064763970282865,-0.11657974793568016,-0.07369694678577098,-0.10205263433402259
2019-11,-0.25492889463477697,0.1298865069356872,-0.134295936621518,0.09691870629370629,0.02016786179921762,-0.06676363474862321,-0.00014420192884501598,0.007714037375054312,-0.05270434880008962,-0.1530904022823043
2019-12,-0.25492889463477697,0.2118537200504413,-0.1841298236647074,0.16510052447552448,-0.1705101043024773,-0.07061274945224137,-0.09612500576807717,0.15460669274228594,-0.0709060233541486,-0.2483609024524302
2019-13,-0.2633322559793148,-0.06683480453972263,-0.22604140046000512,0.23328234265734266,-0.030679595827901023,-0.07407695268549773,-0.07452932490424993,-0.06573229030856151,0.10164585141833048,-0.24291687387128016
2019-14,-0.2633322559793148,-0.14880201765447673,-0.23524150268336314,0.1310096153846154,-0.11542535853976543,-0.0686881921004323,-0.12251972682386601,-0.0713820078226858,0.10358736337076344,-0.23679234171748634
2019-15,-0.24652553329023916,-0.08322824716267345,-0.278175313059034,-0.02808129370629371,-0.1916965449804434,-0.07176748386332682,-0.06853052466429793,0.08116036505867014,-0.06872182240766152,-0.2980376632554244
