season,country,page_name,value
2016-2017,italy,Tosse,4.231533000841591
2016-2017,italy,Antivirale,3.062913831726683
2016-2017,italy,Pandemia_influenzale,2.6580624222157234
2016-2017,italy,Mineral_Miracle_Solution,2.6073191438818104
2016-2017,italy,Virus_a_RNA,2.3673673984160963
2016-2017,italy,Influenzavirus_A_sottotipo_H1N1,2.1331824555489187
2016-2017,italy,Aspirina,0.9290908436950396
2016-2017,italy,Antivirali,0.4856028257751752
2016-2017,italy,Subsalicilato_di_bismuto,0.3536650991521455
2016-2017,italy,Influenza_suina,0.03788528124329754
2016-2017,italy,year,-0.0009008866278661776
2016-2017,italy,Edmund_Allenby,-0.00659180737106707
2016-2017,italy,Toxoplasma_gondii,-0.21129211756834743
2016-2017,italy,Neuraminidasi,-0.4697491150248087
2016-2017,italy,Zanamivir,-0.4733098008719507
2016-2017,italy,Vaccino_influenzale,-0.7004078358777052
2016-2017,italy,Damiano_de_Veuster,-0.8786432959489434
2016-2017,italy,Anni_2000,-1.2829003853824616
2016-2017,italy,Febbre_suina,-1.4865975043434856
2016-2017,italy,Epidemiologia,-1.5096937260300565
2016-2017,italy,Vietnam,-1.538929810520002
2016-2017,italy,Cina,-1.6125069261901421
2016-2017,italy,Conseguenze_della_prima_guerra_mondiale,-1.6430291237948518
2016-2017,italy,Lavandula,-3.0263727801109965
2017-2018,italy,ICD-10,-1.8141137551156256e-15
2018-2019,italy,Febbre,6.429417145928194
2018-2019,italy,Tosse_post-virale,6.217885023837922
2018-2019,italy,Neoplasia,3.51614687616849
2018-2019,italy,Mineral_Miracle_Solution,3.3329116094576507
2018-2019,italy,Virus_a_RNA,2.677040336420752
2018-2019,italy,Pandemia_influenzale,2.5503605000573772
2018-2019,italy,Virus_respiratorio_sinciziale_umano,2.1228393719979173
2018-2019,italy,Epatite_A,1.9865751261044797
2018-2019,italy,Königsberg,1.6040101479274453
2018-2019,italy,Influenza_spagnola,1.4042445479135224
2018-2019,italy,Polmonite,1.344353632144815
2018-2019,italy,Genoma,0.9559225660656752
2018-2019,italy,2005,0.8874534250054634
2018-2019,italy,Quadro_clinico,0.8311831640928719
2018-2019,italy,1997,0.732446103964917
2018-2019,italy,Bronchite_acuta,0.7091152017409273
2018-2019,italy,Fattore_di_rischio,0.6539307153454165
2018-2019,italy,Influenza_di_Hong_Kong,0.6515873177794809
2018-2019,italy,Antivirali,0.48454941214051866
2018-2019,italy,Encefalomielite_acuta_disseminata,0.43991102764946133
2018-2019,italy,Damiano_de_Veuster,0.4156121959165842
2018-2019,italy,Kaliningrad,0.3983663955657118
2018-2019,italy,ICD-10,0.3737621142429591
2018-2019,italy,1969,0.36641874511248596
2018-2019,italy,Influenza_suina,0.2946337032621735
2018-2019,italy,Tosse,0.17990092724992168
2018-2019,italy,Vaccino_influenza_stagionale,0.027191595576038872
2018-2019,italy,Rabbia,-0.011084483911474454
2018-2019,italy,Febbre_tifoide,-0.017774366190668685
2018-2019,italy,Vaiolo,-0.06226384399911886
2018-2019,italy,Malattia_di_Lyme,-0.08445314291362364
2018-2019,italy,Antrace,-0.13778272050302298
2018-2019,italy,Isola_di_Pasqua,-0.175581328178175
2018-2019,italy,Evoluzione,-0.44831285003874877
2018-2019,italy,Vaccinazione,-0.5985376122009488
2018-2019,italy,Pertosse,-0.6077317109282385
2018-2019,italy,Lavandula,-0.6602571664061628
2018-2019,italy,Faringite,-0.6785607060334478
2018-2019,italy,Febbre_suina,-0.6883116673620457
2018-2019,italy,Rinorrea,-0.7992941190549173
2018-2019,italy,Inghilterra,-0.8731166055506288
2018-2019,italy,Sanofi_Pasteur,-0.9130275551615068
2018-2019,italy,Vaccino_influenzale,-0.9255898159506503
2018-2019,italy,Vietnam,-0.9598040506339962
2018-2019,italy,Epidemiologia,-1.0532542240535494
2018-2019,italy,Apparato_respiratorio,-1.119571716932361
2018-2019,italy,Ipoclorito_di_sodio,-1.1324883379659056
2018-2019,italy,Tonsillite,-1.170043955837033
2018-2019,italy,Contagiosità,-1.3064878729416296
2018-2019,italy,Vitamina_D,-1.3849928530424958
2018-2019,italy,year,-1.4073003152163956
2018-2019,italy,Febbre_Q,-1.5690778926039728
2018-2019,italy,SARS,-1.7828963994113547
2018-2019,italy,Anni_2000,-1.8569056624429545
2018-2019,italy,Gastroenterite,-2.2231625370248747
2018-2019,italy,Endo-alfa-sialidasi,-3.142013270656658
