week,Neuraminidase,Mexicaanse_griep,Vogelgriep,Virologie,Virulentie,Incubatieperiode,H1N1,Griep,H5N1,Virusinfectie
2018-42,0.11732259988073944,-0.07034865540963102,-0.1540975364504776,0.07554240631163706,-0.024271844660194174,0.011824744834453548,-0.03403971299849825,-0.05138958263958265,-0.030551009274413527,-0.2583826429980276
2018-43,0.2103458556946929,-0.05388524077548467,0.022373051784816515,0.19092702169625245,-0.0048543689320388345,0.12832959920338557,-0.03403971299849825,-0.07790473415473416,-0.030551009274413527,-0.10453648915187373
2018-44,0.18709004174120455,-0.10022670419011882,-0.075666163901458,0.1447731755424063,0.1796116504854369,0.4487179487179487,-0.03403971299849825,0.05277708402708402,-0.030551009274413527,-0.10453648915187373
2018-45,0.2917412045319022,-0.042909631019387114,0.6106083459024636,0.26785009861932935,0.41262135922330095,0.20599950211600696,-0.03403971299849825,-0.08575105450105451,-0.030551009274413527,0.20315581854043396
2018-46,0.45453190220632084,-0.049616948092557844,0.5321769733534439,0.20631163708086783,0.5097087378640777,0.02153348269853122,-0.03403971299849825,-0.05030733155733157,-0.030551009274413527,0.04930966469428011
2018-47,0.24522957662492548,-0.07217792370231393,0.41452991452991456,-0.009072978303747557,0.024271844660194174,-0.002738361961662957,-0.03403971299849825,-0.06654109779109779,-0.030551009274413527,0.12623274161735704
2018-48,0.26848539057841386,-0.09900719199499687,0.39492207139265967,0.2293885601577909,0.18932038834951456,0.1962907642519293,-0.03403971299849825,-0.08493936618936619,-0.030551009274413527,-0.18145956607495067
2018-49,0.18709004174120455,-0.03681207004377735,0.33609854198089495,0.19861932938856014,0.024271844660194174,0.18172765745581276,-0.03403971299849825,-0.058694777444777455,-0.030551009274413527,-0.18145956607495067
2018-50,0.280113297555158,-0.04412914321450906,0.728255404725993,0.021696252465483214,0.3640776699029126,0.08464027881503607,-0.03403971299849825,0.3955801143301143,-0.030551009274413527,0.12623274161735704
2018-51,0.11732259988073944,-0.07339743589743589,0.6498240321769734,-0.0013806706114398645,0.014563106796116505,-0.0367189444859348,0.4171533455698315,0.04141344766344766,0.9694489907255863,-0.10453648915187373
2018-52,0.08243887895050687,-0.09717792370231394,-0.03645047762694819,-0.10907297830374756,-0.32524271844660196,-0.3425441872043814,0.28483230435508095,0.041684010434010425,0.508456082924168,0.20315581854043396
2019-01,-0.40593321407274896,-0.031324265165728574,-0.05605832076420309,0.11400394477317552,-0.1407766990291262,0.08949464774707491,-0.03403971299849825,0.3406558719058719,-0.030551009274413527,0.3570019723865878
2019-02,-0.40593321407274896,-0.03193402126328955,0.17923579688285574,0.11400394477317552,0.1796116504854369,0.2691062982325118,-0.03403971299849825,0.4061320623820624,-0.030551009274413527,0.43392504930966475
2019-03,-0.40593321407274896,-0.044738899312070035,-0.016842634489693288,0.17554240631163706,0.441747572815534,0.1428927059995021,-0.03403971299849825,0.411272755022755,-0.030551009274413527,0.3570019723865878
2019-04,-0.40593321407274896,0.008919637273295816,0.2968828557063851,0.09861932938856013,-0.0048543689320388345,0.1331839681354244,-0.03403971299849825,0.34390262515262515,-0.030551009274413527,0.2800788954635109
2019-05,-0.40593321407274896,-0.018519387116948085,0.45374560080442433,-0.0013806706114398645,-0.10194174757281553,0.3661936768732885,-0.03403971299849825,0.411272755022755,-0.030551009274413527,-0.027613412228796815
2019-06,-0.40593321407274896,-0.008763289555972477,0.14002011060834593,0.1447731755424063,0.5097087378640777,0.17687328852377393,-0.03403971299849825,0.3330801143301143,-0.030551009274413527,0.43392504930966475
2019-07,0.12895050685748363,-0.005714509068167599,-0.075666163901458,-0.009072978303747557,0.11165048543689321,0.2836694050286283,-0.03403971299849825,0.2413593351093351,-0.030551009274413527,0.12623274161735704
2019-08,0.024299344066785945,-0.07888524077548467,0.08119658119658123,-0.0629191321499014,0.18932038834951456,-0.13866069205875034,-0.03403971299849825,0.08930305805305805,-0.030551009274413527,-0.2583826429980276
2019-09,0.594066785927251,-0.08498280175109443,-0.1148818501759678,-0.11676528599605525,-0.0048543689320388345,-0.09497137167040082,-0.03403971299849825,-0.07195235320235321,-0.030551009274413527,0.04930966469428011
2019-10,-0.06872391174716755,-0.12705597248280173,-0.2325289089994972,-0.23984220907297832,0.024271844660194174,-0.15322379885486684,-0.03403971299849825,-0.19045884670884672,-0.030551009274413527,-0.027613412228796815
2019-11,0.17546213476446038,-0.13376328955597247,-0.1933132227249874,-0.11676528599605525,0.0048543689320388345,-0.119243216330595,-0.03403971299849825,-0.22698482073482074,-0.030551009274413527,0.20315581854043396
2019-12,0.012671437090041758,-0.12522670419011883,-0.0952740070387129,-0.024457593688362943,0.05339805825242718,-0.22118496390341053,-0.03403971299849825,-0.2364545177045177,-0.030551009274413527,0.12623274161735704
2019-13,0.2103458556946929,-0.11364133833646028,-0.1344896933132227,0.01400394477317552,-0.15048543689320387,-0.08526263380632315,-0.03403971299849825,-0.26296966921966924,-0.030551009274413527,0.04930966469428011
2019-14,0.18709004174120455,-0.14656816760475297,-0.075666163901458,0.006311637080867827,-0.19902912621359223,-0.19205875031117753,-0.03403971299849825,-0.3008484570984571,-0.030551009274413527,0.2800788954635109
2019-15,-0.08035181872391173,-0.1105925578486554,-0.075666163901458,-0.024457593688362943,-0.11165048543689321,-0.4202140901170028,-0.03403971299849825,-0.3165410977910978,-0.030551009274413527,0.04930966469428011
