week,Viren,Schüttelfrost,Toxoidimpfstoff,Erkältung,Fieber,Aortitis,Virusinfektion,Remune,Bradykardie,Impfstoff
2018-42,0.3065951631056758,-0.09256185998644866,-0.23183268344558666,-0.11732010138103102,-0.13654619540322976,0.08670687111054083,-0.13121393110971016,-0.10939060939060938,-0.03420300349860854,-0.0447517410382132
2018-43,0.3594047044803223,-0.09301889837767352,-0.29404466501240695,-0.11771268932072951,-0.13654619540322976,0.19679861422980688,-0.16890717411822154,-0.10939060939060938,-0.04813609027937744,-0.06066686040160842
2018-44,0.38202858250811034,-0.09256185998644866,-0.21339950372208435,-0.11763417173278981,-0.13654619540322976,-0.02338487200872523,-0.11905482046180327,-0.10939060939060938,-0.01777572217066496,-0.015574022205321954
2018-45,0.39543077112239783,-0.09279037918206108,-0.17653314427507977,-0.11755565414485011,-0.13654619540322976,0.08670687111054083,-0.10342167820020869,-0.10939060939060938,-0.0313647821173408,-0.016458195503288354
2018-46,0.4910904293051102,-0.09233334079083622,-0.1281460475008862,-0.11732010138103102,-0.13654619540322976,0.022486687624302292,-0.06016998460979701,-0.10939060939060938,-0.016055588000199662,-0.01999488869515396
2018-47,0.47369217527830587,-0.09256185998644866,-0.11432116270825948,-0.11724158379309133,-0.13654619540322976,0.022486687624302292,-0.09369438968188316,-0.10939060939060938,-0.015711561166106603,-0.009384809119557145
2018-48,0.4770734613965894,-0.09256185998644866,-0.12353775257001062,-0.11771268932072951,-0.13654619540322976,0.09588118303714634,-0.11071714458895282,-0.10939060939060938,-0.023968205184340025,-0.0020166983031704657
2018-49,0.5069517350963311,-0.09244760038864244,-0.11662531017369726,-0.11755565414485011,-0.13654619540322976,0.10505549496375183,-0.07007097470880691,-0.10939060939060938,-0.04323370789355135,-0.013510951176733683
2018-50,0.45758495776939156,-0.09233334079083622,0.09766040411201703,-0.11786972449660892,-0.13654619540322976,0.013312375697696789,-0.08761483435792972,-0.10939060939060938,-0.03420300349860854,-0.002900871601136867
2018-51,0.3279894825449971,-0.09267611958425487,0.3027295285359802,-0.11708454861721193,-0.13654619540322976,0.2243215500096234,-0.08622522171245464,-0.10939060939060938,-0.042889681059458284,-0.07245583770782711
2018-52,0.08539757304050921,-0.09290463877986731,-0.12353775257001062,-0.11779120690866922,-0.13654619540322976,0.0316609995509078,-0.1925305890912978,-0.10939060939060938,-0.09182749820919596,-0.1593995453411899
2019-01,-0.18467497091621032,-0.09279037918206108,0.09305210918114144,-0.11779120690866922,-0.13654619540322976,-0.22521973439404633,-0.24620437752277252,-0.10939060939060938,-0.12390800048837373,-0.1694201760514758
2019-02,-0.18467497091621032,-0.09256185998644866,-0.09127968805388159,-0.11708454861721193,-0.13654619540322976,-0.22521973439404633,0.02146975831186358,-0.10939060939060938,-0.004100655515465854,-0.01911071539718756
2019-03,-0.18467497091621032,-0.09244760038864244,-0.15579581708613965,-0.11739861896897072,-0.13654619540322976,-0.22521973439404633,0.1215218687860689,-0.10939060939060938,0.011122531893152019,0.0360027535093848
2019-04,-0.18467497091621032,-0.09256185998644866,-0.09358383551931938,-0.11763417173278981,-0.13654619540322976,-0.22521973439404633,0.1764115682823343,-0.10939060939060938,0.018003068575013204,0.04219196659514961
2019-05,-0.18467497091621032,-0.09221908119303,-0.09819213045019497,-0.11779120690866922,-0.13654619540322976,-0.22521973439404633,0.16824759399016825,-0.10939060939060938,0.01241263252100099,0.03276078475017466
2019-06,-0.18467497091621032,-0.09290463877986731,-0.045196738745125836,-0.11755565414485011,-0.13654619540322976,-0.22521973439404633,0.15278815330925805,-0.10939060939060938,0.02402353817164174,0.05869653482385576
2019-07,-0.18467497091621032,-0.09233334079083622,-0.11892945763913505,-0.11724158379309133,-0.13654619540322976,-0.22521973439404633,0.06107371870790318,-0.10939060939060938,0.01077850505905896,0.0197929097133341
2019-08,-0.18467497091621032,-0.09301889837767352,-0.10280042538107054,-0.11794824208454861,-0.13654619540322976,-0.22521973439404633,0.016606114052700818,-0.10939060939060938,-0.0012624341341981149,0.00977227900304822
2019-09,-0.18467497091621032,-0.09313315797547973,-0.10740872031194611,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,0.003231092340003233,-0.10939060939060938,0.009402397722686723,-0.0034903204664478013
2019-10,-0.18467497091621032,-0.09313315797547973,-0.1097128677773839,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,0.09025558426287973,-0.10939060939060938,0.021357330207420533,0.02391905177051064
2019-11,-0.18467497091621032,-0.09313315797547973,-0.05441332860687699,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,0.010526558728747372,-0.10939060939060938,0.016024914278978113,0.02421377620316611
2019-12,-0.18467497091621032,-0.09313315797547973,-0.07975895072669266,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,0.006184019211637765,-0.10939060939060938,0.009402397722686723,0.012130074464291957
2019-13,-0.18467497091621032,-0.09313315797547973,-0.0336760014179369,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,-0.011880945179538194,-0.10939060939060938,0.01774504844944341,-0.007027013658313407
2019-14,-0.18467497091621032,-0.09313315797547973,-0.12123360510457284,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,-0.08692002803519218,-0.10939060939060938,-0.025946359480375117,-0.03532055919323825
2019-15,-0.18467497091621032,-0.09313315797547973,-0.18114143920595532,-0.11802675967248831,-0.13654619540322976,-0.22521973439404633,-0.15153701604978312,-0.10939060939060938,-0.05338249949929659,-0.06597190018940684
