week,Common_cold,Influenza_vaccine,Influenza-like_illness,Influenza_A_virus_subtype_H1N1,Influenza,Influenza_A_virus_subtype_H3N2,Avian_influenza,Tamiflu,Influenza_A_virus,Influenza_treatment
2012-42,-0.26067654584607247,-0.13067255803846292,-0.11696352612318206,-0.04251049389372687,-0.2042073870496264,-0.09311954382600797,-0.2620972651078609,-0.05964830133707923,-0.23199875550024443,-0.12670238845988396
2012-43,0.1643057311991565,-0.06312701459563218,-0.11696352612318206,-0.04251049389372687,0.14873034531958815,-0.09311954382600797,0.060785180257086964,0.012186323985918183,-0.21835637139428418,0.006879855887761748
2012-44,0.16456094174785918,-0.08804461989786679,-0.11696352612318206,-0.04244624842463857,0.07677273531929542,-0.0844729272846546,-0.03962904628197888,-0.009260704437854428,-0.22259478199031066,0.00584272666146015
2012-45,0.12083486773680006,-0.09916337691499764,-0.11696352612318206,-0.04238200295555029,-0.024225537463865687,-0.05966089720946662,-0.11204727224969778,-0.011715484799611533,-0.22345570914262855,0.011858076174009413
2012-46,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,-0.2747383163862497,-0.06274907653087769,-0.232329881328059,-0.131265757055611
2012-47,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,-0.2747383163862497,-0.06274907653087769,-0.232329881328059,-0.131265757055611
2012-48,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,-0.2747383163862497,-0.06274907653087769,-0.232329881328059,-0.131265757055611
2012-49,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,-0.2747383163862497,-0.06274907653087769,-0.21921729854660205,-0.131265757055611
2012-50,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.21483460176829966,-0.06274907653087769,-0.21676696742077425,-0.131265757055611
2012-51,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.21533453034993086,-0.06274907653087769,-0.21756166940752922,-0.131265757055611
2012-52,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.1812679684302051,-0.06274907653087769,-0.21570736477176763,-0.131265757055611
2013-1,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.12484745707468445,-0.06274907653087769,-0.21789279523534377,-0.131265757055611
2013-2,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.11092087515781543,-0.06274907653087769,-0.21239610649362192,-0.131265757055611
2013-3,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.021076567201809147,-0.06274907653087769,-0.21934974887772787,-0.131265757055611
2013-4,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.10520740565345892,-0.06274907653087769,-0.2159722654340193,-0.131265757055611
2013-5,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.051429373943703165,-0.06274907653087769,-0.2174292190764034,-0.131265757055611
2013-6,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.05328625153261903,-0.06274907653087769,-0.21524378861282722,-0.131265757055611
2013-7,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,-0.2174396245273043,-0.09311954382600797,0.08492458891299326,-0.06274907653087769,-0.21232988132805902,-0.0030765846847335856
2013-8,-0.27516683366685796,-0.13291803991162943,-0.11696352612318206,-0.04251049389372687,0.10739424063268281,-0.09311954382600797,0.08428182359375315,-0.06274907653087769,-0.21385306013600602,-0.00888450835202253
2013-9,0.3057207319080747,0.13020173119408932,-0.11696352612318206,-0.041842341015208624,0.14504171274837707,-0.0863526265327749,0.08249636437364175,-0.014557862060593446,-0.2170318680830259,0.007916985114063345
2013-10,0.2335528600804836,0.117561841295136,-0.11696352612318206,-0.042002954687929354,0.09855323240644667,-0.08597668668315084,0.04328767989999512,-0.022955794877130915,-0.21974709987110536,-0.007847379125720933
2013-11,0.3282359736491778,0.16015356198616493,-0.11428076287703852,-0.0421442947199236,0.16058666429848098,-0.0863526265327749,0.05457178217109925,-0.01714184138875882,-0.2165682919240855,0.00024222883943152536
2013-12,0.30342383696975056,0.12447937416247148,-0.1149514536885744,-0.04210574743847063,0.17979097355811974,-0.08296916788615835,0.07499743564917381,-0.021017810381006884,-0.21213120583137027,0.002523913137295039
2013-13,0.36535493012160086,0.17449567201477673,-0.11461610828280647,-0.04201580378174702,0.23113908093831237,-0.0825932280365343,0.12877546735892956,-0.009260704437854428,-0.2127272323214365,0.033222938235822314
2013-14,0.39198189736958045,0.08761001050306037,-0.11394541747127059,-0.042035077422473505,0.21213969571040756,-0.0825932280365343,0.11056378331379316,-0.01623744862390094,-0.21570736477176763,0.04981700585664787
2013-15,0.35511815144586,0.007641881858679512,-0.1156221445001103,-0.04212502107919711,0.1541461947296997,-0.08466089720946662,0.04557306770173773,-0.0242477845412136,-0.214647762122761,0.03820115852206998
