week,Erkältung,Parotitis,Fieber,Schüttelfrost,Dyspnoe,Hordeolum,Epididymitis,Influenzaimpfstoff,Rhinosinusitis,Bradykardie
2018-42,-0.3231466829339003,-0.05901827265261428,-0.24637203312193243,-0.2556833163408803,0.04827291053372584,-0.14616151436145747,0.046054038639766204,0.031235431235431276,-0.09279855846899464,-0.08467809183271852
2018-43,-0.3231466829339003,-0.035886600054749515,-0.2445884763645537,-0.2556833163408803,0.06366392550876743,-0.18204872598207836,-0.000285164325942784,0.025174825174825215,-0.07825897850130481,-0.07774027204258756
2018-44,-0.3231466829339003,-0.04656275663837941,-0.23244878359658866,-0.2556833163408803,0.026226321515423007,-0.201701246631466,-0.01604049333428384,-0.1263403263403263,-0.1364172983720641,-0.0813826274324063
2018-45,-0.3231466829339003,-0.07503250752805912,-0.24769531716772958,-0.2556833163408803,0.030386055292461276,-0.21280919308546772,0.040493334283881126,-0.1869463869463869,-0.11218466509258107,-0.0787809450111072
2018-46,-0.3231466829339003,-0.03499692033944702,-0.24113643102769158,-0.2556833163408803,0.08404662101625496,-0.17008632210853805,0.04790760675839457,-0.1566433566433566,-0.10895364732198333,-0.0811224591902764
2018-47,-0.3231466829339003,0.0228322611552149,-0.25839665771200204,-0.2556833163408803,0.06657573915269423,-0.1774916197445392,0.049761174877022925,-0.1384615384615384,-0.09602957623959238,-0.07513858962128846
2018-48,-0.3231466829339003,-0.023431084040514638,-0.25851172588989746,-0.2556833163408803,0.014163093562012024,-0.17492824748592342,0.05161474299565128,-0.2051282051282051,-0.11218466509258107,-0.08198968666404277
2018-49,-0.3231466829339003,0.00681802627977006,-0.24763778307878187,-0.2556833163408803,0.0054276526302316575,-0.18518173652038653,0.05161474299565128,-0.2354312354312354,-0.05079532745122404,-0.08580548754861479
2018-50,-0.3231466829339003,-0.01809300574869969,-0.23198851088500705,-0.2556833163408803,0.02165061436068091,-0.16211138619284451,0.06737007200399234,-0.1869463869463869,-0.1154156828631788,-0.08485153732747178
2018-51,-0.3231466829339003,-0.05279051464549685,-0.24245971507348874,-0.2556833163408803,-0.03200995136311277,-0.2145181079245449,0.035859413987310226,-0.25967365967365963,-0.08795203181309803,-0.08814700172778399
2018-52,-0.3231466829339003,-0.1568830413358883,-0.28952259983270856,-0.2556833163408803,-0.17676868680404456,-0.29398264794163403,-0.08554929778284733,-0.3384615384615384,-0.20103765378401886,-0.1257846740892444
2019-01,-0.3231466829339003,-0.4575947851081303,-0.39440724398436844,-0.2556833163408803,-0.5478169397158582,-0.17151041780776904,-0.5109431810080558,-0.2475524475524475,-0.4498260221200447,-0.06976177928393697
2019-02,-0.3231466829339003,-0.4575947851081303,-0.21593650006859832,-0.2556833163408803,-0.5478169397158582,-0.17293451350700004,-0.5109431810080558,-0.2475524475524475,-0.4498260221200447,-0.054672021240402144
2019-03,-0.3231466829339003,-0.4575947851081303,-0.1957420348479551,-0.2556833163408803,-0.5478169397158582,-0.15869355651469016,-0.5109431810080558,-0.16876456876456872,-0.4498260221200447,-0.06880782906279395
2019-04,-0.3231466829339003,-0.4575947851081303,-0.19838860293954938,-0.2556833163408803,-0.5478169397158582,-0.14957934403961182,-0.5109431810080558,-0.1566433566433566,-0.4498260221200447,-0.05605958519842834
2019-05,-0.3231466829339003,-0.4575947851081303,-0.207709125349077,-0.2556833163408803,-0.5478169397158582,-0.16809258812961467,-0.5109431810080558,-0.07179487179487176,0.015440536846029597,-0.07036883851557342
2019-06,-0.3231466829339003,-0.029658842047632077,-0.19861873929534019,-0.2556833163408803,-0.5478169397158582,-0.17208005608746144,-0.5109431810080558,-0.18088578088578083,0.018671554616627336,-0.0679406015890276
2019-07,-0.3231466829339003,0.01571482343279497,-0.18993109186423726,-0.2556833163408803,-0.5478169397158582,-0.16809258812961467,-0.5109431810080558,-0.11421911421911418,0.05421275009320246,-0.0668132058731313
2019-08,-0.3231466829339003,-0.00919620859567478,-0.20276119369957468,-0.2556833163408803,0.09985360936900038,-0.19600486383454205,-0.5109431810080558,-0.22937062937062933,-0.031409220827637606,-0.07184312522097624
2019-09,-0.3231466829339003,0.0032593074185600954,-0.1837749443468332,-0.2556833163408803,0.11233281070011518,-0.1923022150165415,0.07571112853781996,-0.08997668997668994,0.04451969678140924,-0.07114934324196315
2019-10,-0.3231466829339003,-0.033217560908842036,-0.18647904652737515,-0.2556833163408803,0.06823963266350953,-0.224771596959008,-0.0012119483852569637,-0.2051282051282051,-0.003945569777556833,-0.08129590468502967
2019-11,-0.3231466829339003,-0.06346667122912673,-0.19838860293954938,-0.2556833163408803,0.07073547292973249,-0.20739762942838996,-0.003992300563199503,-0.2051282051282051,-0.012023114204051178,-0.0818162411692895
2019-12,-0.3231466829339003,-0.14353784560635094,-0.22755838603603404,-0.2556833163408803,-0.023274510431332402,-0.2643614573976295,-0.035502958579881616,-0.2172494172494172,-0.07502796073070707,-0.0985537314129804
2019-13,-0.3231466829339003,-0.09193642211880645,-0.2413090332945347,-0.2556833163408803,0.005843626007935485,-0.23132243717547055,-0.045697583232337594,-0.1566433566433566,-0.09279855846899464,-0.0989873451498636
2019-14,-0.3231466829339003,-0.04033499863126197,-0.2674295096767912,-0.2556833163408803,0.09610984896966593,-0.16182656705299833,-0.07072075283382045,-0.16876456876456872,-0.10410712066608672,-0.08259674589567922
2019-15,-0.3231466829339003,-0.023431084040514638,-0.27306785039366593,-0.2556833163408803,0.10858905030078074,-0.17236487522730765,0.016396948741712453,-0.19906759906759902,-0.0992605940101901,-0.08060212270601658
