week,Cytomegalie,Knollenmozaïekvirus,Cyanovirus,Pijngrens,Koortsstuip,Krim-Congo-hemorragische_koorts,Koorts,Griep,Cytokinestorm,Fructosurie
2018-42,0.05073147711184524,-0.2127403846153846,-0.03218623481781376,-0.03457927049476344,-0.3022925350511558,-0.036774628879892045,-0.26333198105059286,-0.22553028366981856,-0.12509426847662142,-0.04294871794871794
2018-43,0.08754129306276548,-0.2127403846153846,-0.03218623481781376,-0.2035933550018057,-0.3531956549197929,-0.06309041835357626,-0.30212068469128694,-0.24853053922821364,-0.07607466063348416,-0.04294871794871794
2018-44,0.14889098631429923,-0.2127403846153846,-0.03218623481781376,-0.15664499819429395,-0.3187128962991032,-0.036774628879892045,-0.24904140602507396,-0.24929721441349348,-0.0858785822021116,-0.10961538461538461
2018-45,-0.053563001415762125,-0.2127403846153846,-0.03218623481781376,-0.18011917659804982,-0.3105027156751295,-0.036774628879892045,-0.2844275918025493,-0.24648607206746742,-0.027055052790346895,0.2903846153846154
2018-46,0.11821613968853235,-0.2127403846153846,-0.03218623481781376,-0.14256049115204045,-0.2809460654288241,-0.028002699055330645,-0.27558104535818045,-0.262586250958344,-0.0858785822021116,0.023717948717948724
2018-47,0.05073147711184524,-0.2127403846153846,-0.03218623481781376,-0.1472553268327916,-0.2924403183023873,-0.08940620782726047,-0.26231122569162724,-0.23166368515205724,-0.13489819004524886,0.09038461538461538
2018-48,0.05686644643699861,-0.2127403846153846,-0.03218623481781376,-0.1519501625135428,-0.30886067955033475,-0.06309041835357626,-0.2640124846232366,-0.23038589317659086,-0.12509426847662142,0.023717948717948724
2018-49,0.08140632373761211,-0.2127403846153846,-0.03218623481781376,-0.1519501625135428,-0.30065049892636103,-0.07186234817813766,-0.2388338524354176,-0.23243036033733708,-0.0466628959276018,0.09038461538461538
2018-50,-0.0596979707409155,-0.2127403846153846,-0.03218623481781376,-0.1519501625135428,-0.26124163193128713,-0.08063427800269907,-0.2469998953071427,-0.20738563761819576,-0.07607466063348416,0.15705128205128205
2018-51,-0.01675318546484188,-0.2127403846153846,-0.03218623481781376,-0.1660346695557963,-0.29079828217759257,0.050944669365721985,-0.26979676499070854,-0.26054178379759774,-0.0858785822021116,0.2903846153846154
2018-52,-0.09037281736668237,-0.2127403846153846,-0.03218623481781376,-0.24584687612856626,-0.31707086017430847,-0.08063427800269907,-0.32525780616117467,-0.29785330948121647,-0.11529034690799396,0.15705128205128205
2019-01,0.06913638508730537,-0.2127403846153846,-0.03218623481781376,-0.08152762730227518,-0.2743779209296451,-0.09817813765182187,-0.18099104876069833,-0.18898543317147967,-0.05646681749622925,0.09038461538461538
2019-02,0.10594620103822561,-0.2127403846153846,-0.03218623481781376,-0.10969664138678221,-0.1692876089427814,-0.07186234817813766,-0.173505509461617,-0.17825198057756197,0.02196455505279036,0.023717948717948724
2019-03,0.020056630486078364,-0.2127403846153846,-0.03218623481781376,-0.13786565547128926,-0.2628836680560819,-0.10695006747638328,-0.12008597900908213,-0.0946843853820598,0.08078808446455507,0.35705128205128206
2019-04,0.03232656913638511,-0.2127403846153846,-0.03218623481781376,-0.16133983387504514,-0.2054124036882658,-0.028002699055330645,-0.10341364147931009,-0.008050089445438283,0.02196455505279036,0.15705128205128205
2019-05,0.007786691835771617,-0.2127403846153846,-0.03218623481781376,-0.17542434091729867,-0.25467348743210816,-0.01923076923076924,-0.0690482110608004,-0.03871709685663174,0.13961161387631976,0.023717948717948724
2019-06,0.044596507786691865,-0.2127403846153846,-0.03218623481781376,-0.2223726977248104,-0.2595995958064924,-0.010458839406207837,-0.11634320935954147,0.00038333759263991824,0.10039592760180997,0.2903846153846154
2019-07,-0.022888154789995254,-0.2127403846153846,0.9678137651821862,-0.14256049115204045,-0.2054124036882658,-0.08063427800269907,-0.05475763603528152,-0.0039611551239458215,0.02196455505279036,0.22371794871794873
2019-08,0.09367626238791886,-0.2127403846153846,0.03097165991902834,-0.1660346695557963,-0.21362258431223952,-0.07186234817813766,-0.060882168189075325,-0.02619473549706108,0.01216063348416291,0.15705128205128205
2019-09,0.06300141576215199,-0.2127403846153846,0.16781376518218624,-0.05805344889851931,-0.2382531261841607,-0.028002699055330645,-0.06836770748815664,-0.03565039611551239,0.01216063348416291,0.49038461538461536
2019-10,-0.04742803209060875,-0.2127403846153846,0.06255060728744939,0.04053810039725534,-0.24153719843375018,-0.0016869095816464334,-0.10205263433402259,-0.08931765908510095,0.0023567119155354583,0.09038461538461538
2019-11,-0.01675318546484188,-0.2127403846153846,0.04149797570850203,-0.10969664138678221,-0.2530314513073134,-0.07186234817813766,-0.1530904022823043,-0.134295936621518,-0.1447021116138763,-0.04294871794871794
2019-12,-0.022888154789995254,-0.2127403846153846,0.02044534412955466,0.04523293607800651,-0.32363900467348744,-0.04554655870445345,-0.2483609024524302,-0.1841298236647074,-0.11529034690799396,-0.04294871794871794
2019-13,-0.13945257196790936,-0.2127403846153846,0.05202429149797571,0.7541531238714337,-0.2957243905519768,-0.036774628879892045,-0.24291687387128016,-0.22604140046000512,-0.0466628959276018,0.023717948717948724
2019-14,0.2225106182161397,-0.2127403846153846,0.03097165991902834,0.054622607439508856,-0.28587217380320834,-0.07186234817813766,-0.23679234171748634,-0.23524150268336314,-0.036858974358974346,0.023717948717948724
2019-15,-0.01675318546484188,-0.2127403846153846,0.02044534412955466,-0.08622246298302635,-0.26124163193128713,-0.04554655870445345,-0.2980376632554244,-0.278175313059034,-0.0858785822021116,0.15705128205128205
