week,Influenza_asiatica,Polyomavirus,Influenza_di_Hong_Kong,Anemia_infettiva_equina,Fascite_necrotizzante,Febbre,Peste_suina,Pandemia_influenzale,Powassan_virus,Influenzavirus_A_sottotipo_H1N1
2018-42,-0.12439764411922184,-0.04071075123706706,-0.06258434547908234,0.2577108881456708,0.23726244881854786,-0.0429921839512554,-0.020561553456290307,-0.1912419284057426,-0.04273504273504273,-0.0823826714801444
2018-43,-0.059432446903444576,-0.052406657669815594,-0.04065452091767883,0.09104422147900412,0.02091678490333335,-0.07827013141613016,-0.1009709101814365,-0.11300231960378662,-0.04273504273504273,-0.07805054151624549
2018-44,-0.008388363376762444,-0.02316689158794425,-0.07574224021592445,0.22872538089929398,0.0009432803685325755,-0.09430556208198233,-0.07757909731593943,-0.09344241740329763,-0.04273504273504273,-0.025342960288808666
2018-45,-0.015348920221310007,-0.04071075123706706,-0.06258434547908234,0.5765514678558157,0.0193882003726088,-0.07964459690177464,-0.06734517918728446,-0.16190207510500912,-0.04273504273504273,-0.07617328519855596
2018-46,0.1517044440478315,0.09379217273954113,-0.05819838056680164,0.23597175771088819,-0.01872450726012329,-0.07093964882602631,-0.05564927275453592,-0.13500720957933673,-0.04273504273504273,-0.07155234657039711
2018-47,0.04497590576476888,0.134727845254161,-0.06258434547908234,0.018580453363062095,-0.037373238534962785,-0.027262190059990886,-0.0834270505323137,-0.13256222180427563,-0.04273504273504273,-0.07054151624548737
2018-48,-0.11511690165982509,0.18151147098515516,-0.027496626180836727,-0.12634708286882196,-0.0585696106943432,0.0051141080463011105,-0.1272866996551207,-0.1716820262052536,-0.04273504273504273,-0.07574007220216607
2018-49,-0.1475995002677137,0.28092667566351776,-0.13714574898785428,-0.02489780750650312,-0.05153812185301027,0.07902980749651492,-0.02933348328085171,-0.15456711177982574,-0.04273504273504273,-0.07805054151624549
2018-50,-0.059432446903444576,0.29847053531264056,0.06899460188933872,0.05481233742103311,0.017655804571120978,0.22945741898093763,-0.020561553456290307,-0.12522725847909225,-0.04273504273504273,-0.07285198555956679
2018-51,0.003212564697483496,0.01776878092667563,-0.06258434547908234,-0.2495354886659234,0.04099219507351576,0.3814122143382987,-0.07611710901184586,-0.020092784151463886,0.6239316239316239,-0.0615884476534296
2018-52,0.1586650008923791,-0.26878092667566356,0.06899460188933872,-0.3219992567818654,-0.055206724726749194,0.688681609573485,-0.0921989803568751,-0.000532881950974889,0.12393162393162394,-0.03935018050541516
2019-01,0.3883633767624487,-0.5026990553306343,0.2795209176788124,-0.20605722779635818,0.09347359729505861,0.7346498441489279,-0.0921989803568751,0.2464108833301987,-0.04273504273504273,-0.008592057761732852
2019-02,0.4278065322148849,0.2750787224471435,0.3102226720647773,-0.06837606837606834,-0.037577049805726064,0.4513572357188729,-0.004479682111261066,0.058146824650492104,-0.04273504273504273,-0.02851985559566787
2019-03,0.10762091736569696,0.4797570850202429,0.020748987854250993,0.13452248234856934,-0.02708076936141749,0.3288770891092211,-0.09366096866096867,0.031251959124819734,-0.04273504273504273,-0.046137184115523464
2019-04,0.04265572014991969,0.37449392712550605,-0.0011808367071525158,0.018580453363062095,-0.016176866375582376,0.2702332283883903,-9.371719898036433e-05,0.036141934674941985,-0.04273504273504273,-0.05696750902527076
2019-05,0.08441906121720508,0.286774628879892,0.08653846153846152,0.040319583797844706,-0.0326855793074075,0.25022711965289857,0.026222072274703846,-0.06899253965268638,-0.04273504273504273,-0.05956678700361011
2019-06,0.026414420845975374,0.3277103013945119,-0.05381241565452094,0.040319583797844706,-0.04206089776251807,0.12881600175430355,-0.052725296146348785,-0.044542661902075134,-0.04273504273504273,-0.06808664259927798
2019-07,-0.08727467428163484,0.4973009446693657,-0.13714574898785428,0.14176885916016355,-0.037577049805726064,0.05627476778973422,-0.0834270505323137,-0.08855244185317537,-0.04273504273504273,-0.07184115523465703
2019-08,-0.07335356059253971,0.29847053531264056,-0.1546896086369771,0.22147900408769977,-0.04358948229324262,0.0003798380401923753,-0.06880716749137802,-0.1496771362297035,-0.04273504273504273,-0.07574007220216607
2019-09,-0.12439764411922184,-0.09334233018443548,-0.11082995951417006,0.21423262727610556,-0.0357427483688566,-0.042381310402080076,-0.09804693357324937,-0.27437151275782085,-0.04273504273504273,-0.08368231046931408
2019-10,-0.15688024272711046,-0.08749437696806121,-0.12837381916329288,0.20698625046451138,-0.010266339523447451,-0.0475737355700703,-0.09950892187734293,-0.22302676948153724,-0.04273504273504273,-0.08064981949458484
2019-11,-0.12439764411922184,0.15811965811965809,-0.11960188933873146,-0.09736157562244516,-0.028099825715233857,-0.044366649436899865,-0.11559079322237217,-0.25236662278227073,-0.04273504273504273,-0.08339350180505416
2019-12,-0.1290380153489202,-0.052406657669815594,-0.09767206477732795,0.040319583797844706,-0.043385671022479345,-0.024971414250583433,-0.09512295696506223,-0.2205817817064761,-0.04273504273504273,-0.08512635379061372
2019-13,-0.1684811708013564,-0.06410256410256414,-0.09328609986504725,0.19973987365291718,0.0014528085454407584,-0.06971790172767568,-0.09366096866096867,-0.27437151275782085,-0.04273504273504273,-0.08714801444043321
2019-14,-0.17080135641620559,0.05285650022492125,-0.15030364372469637,0.12727610553697513,-0.027182674996799126,-0.10331594693231831,-0.11851476983055931,-0.18635195285562037,-0.04273504273504273,-0.08888086642599279
2019-15,-0.212564697483491,-0.13427800269905535,-0.10205802968960866,-0.09011519881085095,-0.06366489246342504,-0.1462298137618846,-0.11997675813465287,-0.257256598332393,-0.04273504273504273,-0.09104693140794223
